,date,url,city,job_title,company_name,location,summary
11,22 days ago,/company/Cryptos.com/jobs/Cryptocurrency-Writer-534537693d9f2d3d?fccid=e2f9e91e5ea01e35&vjs=3,New+York,Cryptocurrency Writer,Cryptos.com,"New York, NY 10012 (Little Italy area)",Cryptos.com is looking to expand and strengthen our coverage of the blockchain and cryptocurrency ecosystem....
12,25 days ago,/company/LD-Capital/jobs/Cryptocurrency-Analyst-6687593743330470?fccid=6afd691a270a743f&vjs=3,New+York,Cryptocurrency Analyst,LD Capital,"New York, NY","Solid understanding of smart contracts scripting, cryptography, crypto-economics, and blockchain technologies generally...."
13,1 day ago,/rc/clk?jk=08e5a784f60a893b&fccid=381ca8ebf18902ba&vjs=3,New+York,Recruiting Coordinator,Paxos,"New York, NY",Paxos is at the cusp of reaching a product-market fit for a complex product that will disrupt financial services using Blockchain technology....
14,Error extracting date,/pagead/clk?mo=r&ad=-6NYlbfkN0AHuxvcXOM3Bo5CI4Nf5Z3_p_oKDVByVy1uIQZx-R_gOMZiVIIwGC0ujxxeDmkl7A_5Htu02DJ3v9x2Y5FgUDRZ0xSeofNnnvnh_zpWCDYNTodlSdK6bipv4JJ1oA8AJRUSJg5Mc54UhQ29PytRNrMr94VvFWy_j3z4Sgwfkur7vKFTAACYPa19rvswLqgVRgcThVd2kcgeOM9D31xwY3Ia50LbNJEWCiinlI2nNKlpSXdz1DvY0tfbZCco8Hol6W-XC__F06JAATcrE2WX1f6MxTqZ6cptRFegVb2wotU0LxRxq5jfwvKTyQj6ERG4ZCe_QLpHPRWQYordyUcQMH3OIEeAZ1A3LS9gRNkZS2Kf_GsXPAOEa1PNOuOSlRg8sH1t5HuCWth5EPrTgFlTfz3Vf8pgv1Fr47tPhKcASIWsdxvLx2sIlQvOg1lpIg4FWWg=&vjs=3&p=4&sk=&fvj=1,New+York,AWS Cloud Engineer - IaC,Tradewind Markets,"New York, NY","Our solution combines a world-class low-latency exchange with Vaultchain™, Tradewind’s blockchain technology tailored for precious metals...."
15,Error extracting date,/pagead/clk?mo=r&ad=-6NYlbfkN0CWLHQcXKZoML5JiNgWzLdRBx2Zk2ulbs4JSq2m1zkJ9ZBHK4wDUs35NJ8ufokVzfmEvNUV4Js_Kpym4_XttVGocyI37VvqEY67StC5K38hFasCLnCgPcAfMacAX0ppyDbyeewxDwyvIDw9Xt6DvMgabxyu63uaOTx6G9HvJE_SjQCQDAg3JSFraam-_2lUCgh1RJqo6DEBOjn_QXieKpujjO376Q7uko5ZZSLhzrr9cn1L1527lfFCk4p6aKhb_fz5uoeoR1dgkFlfsMO5jsa09HtoGmQEaFmqjmxZ-2gzToDGXeZ9-sA-PqPaXqrhQPzJiCSFRXQLMPvJ3_Sebjyu1ussefvYgNM4rrkjr2cR5frJT5otJGJtAr_MJqVoh78XWW0-sj-NeEidGe5EvdP5nFHY7_tTLonlefPSjcN0gjjmAuogs7UWvfFDg6nCXTzf3zTaeVa6iIPWs78vPXL2G6-XuyoEgjfe7GivSn8QmcfQ_EJ8z2Rs1sjGhDxMXOGbaFriBrWFZHXccU_2oE47P5sFxjJQbqxpfmWQOFr6L3NrWgKYh2GVGAZlzG0m0VtwkGkOvBpInEvANgysgNOo1t3hzLi_DCQOUWF-WwMrt4Vpae8Oh_GmnjNYA3j4Aw_w6OzfgQbcaylBZVvbPGrUJDveNsVORZVoLPjCSboKpjQ2NvoGWwjcGqSH7oJ_T-tydnjzcJrsQqE5q_-5YORrTnpdx46oq4AgUak2WXkZJFYCxeI8QBNKOFJV2Aji45ldCHDs_2nrxHVj_FDLxmXDyltBrDSCs2hitniv_i2rdqUVmQ1tcsY0xQvCPD8UZzsViFc2f5_q7H8JU-tISZRatM8F7VH5SKVKJ_47y-4rb8POABDYrk-If67Ppc36Bb2I-RktcwA2DYp73os7PG4dSYLY0KSUDK2RcnuozblHe3pKhAU4azcOxjSTZup3pjKsD8DeWuDcwJnr-zwqLxjiQZM9T5FHTId_PCXWbownT0nD2DxAYtpX5Ktkl0sCwWCcBQm8uhEOTOt5Lfu8c2BAigZfNkQZDeEXiULBSjpMZfX4mbugliS4NHDqTlu_L4a5qtqwbVjVu1DRBiqrbIdMHf1S3HLZJKp1Nbnj7uZ-ocxnNCc8z0JZRLzz994YfjtJqDBSglyN79szK8cEQ_U9daUD2w_DTPAonf-_ZS9ySsRZSOof6oA7E9RcdcQpteQlYoN1tNP3rK8Qi-TGn93dtJV5O-CMfHIxAHadMpYO8CRdQpejmBKuWj3b-wHLWDN6Pv9CFW80LQ==&vjs=3&p=5&sk=&fvj=0,New+York,IT Auditor - Blockchain / AI,Blockchain Developers,"New York, NY","IT Auditor - Blockchain / AI. Trained in Blockchain implementation, design, methodology, etc. Block Recruiters, the leading blockchain recruiting agency, is..."
16,1 day ago,/pagead/clk?mo=r&ad=-6NYlbfkN0Dys7GhibF6Q9-lO7uuJ_sA_RJawJ0yQMZxksOn_UXT6UR6l6nYb47OSQ7745hTm0i4sQbQBrkcJJilKkAf9m1VHCJOgmgIr4VViuo7H6wn9vKvpT7ba0gFkPoTQPTbyYulDeVgwP3jEC8VnNT1ZccUGRjmiv0ioG3gAXbGY5ax3FY2IdB4uKdq7Ant5ASh5fhqw5rFSz2cmtcf7Zgvd60LTyO36QQBS6MrZNMjF9ShcVin4c9f3PEcUal7VAOhUju018B6h8rxILoMHSaTCQnnGXmVyesuYKwnP1LUGCbHdaCzbmgr24OyI5BgK_O9g8IQbbInxd9uFp4yyud3ndqnCHBDyleZN3qTTklspBodODCPjTJWhgLVg3MAB-A6ADITs73wn1_xrP8e_5n1LDratKyhbbXlCquGwzc_ftMfj07yiFNqUikigTgZ-QPJCSE0R4q5f5VaID9O2GU5LsbFAEjD-nGxSSpeL36uTfirZgnyfjFbMuNRvG39JSQRIvTElbDfK9nzW3RdpUHGiEkUeP4g6VMqSQXSpIE2gMZqcaBS_yNtJW93eA9GSqL0Y-Zp7E_hilkYvIQZt7tp1O8VQnDeR1Y13qSiOgtrxGZdqNN_UZFKM3V7Pzjw4yWYlbnyXapuq6UCRL5aH4RNfnnwpr0v2BKxhB2zVkEGdKI7cacNTYcerumiL6NOEoQQ_Az98ukHuqO_6qsDaoU5d8Zie7rRg0HYlQvwFT96oTUXfQqpNhvWKtJ0Pj0p02L0UUEf4vW35ZmtiY4Bk9ecyzMDdLh5fDejb2JQPqCTaWARUxe1YDN8IvGcWdlXJ7pIykN1jA8zNxZV7XbDG94F8_hQ5-kMXXtfTV0SqZA7rB4_c7unKWhSiwGxarW6NIbJXZ7IgU_xOA0OJM2vW7elz1QbACxTN3xX2I4hsOqjAk_95JoblBLnNDASl4GoXmrwoWsN8zp7FxHpGQ==&vjs=3&p=1&sk=&fvj=0,Chicago,"Analyst, Disputes and Investigations","DUFF AND PHELPS, LLC","Chicago, IL","You may also be tasked with assisting our professionals with disputes alleging breach of contract, financial fraud, breach of fiduciary duty, patent or..."
17,Error extracting date,/pagead/clk?mo=r&ad=-6NYlbfkN0CV4holdffd831ZKQhR8rczbMi0923Hh_m8CV6wbSqk2AAIzE4yv5Chp1uxweRnSWjHGtCYtLYNiYAmzh88mb4zqGoMKF60EGs1qvQcv_0R1lHlxElNyIEqi0pgpL1_ZUQYnncYik1CXQtmOsmZczGD0Ex01eGswXlkn6FY39z5tFWPhf28VDUv8GrzSuTSby6AwIUQMN0p4CdTvPecgyE-w5TtLOXeBu-uhM5i1-DcCm-iPOZvh-uetC9agW9IDioSMxt7l9BBqqT6hVPXQ8-kT3cm2mioJ14_iBxKSSd4NSMkztfTot7Plmck1eZ-jlYG-0bW6qx9X1SNLdvUOfyUV9VfhbQUCeSWqTklr4IqX1v_S9jVyMvuV499YYnPSAZP-q2ilI8NixQmBXy9jOV0V-DzY8qX_JT2xtg63a0VnU3bVSxaUIYi&vjs=3&p=2&sk=&fvj=0,Chicago,Accenture Strategy - Procurement Strategy Manager,Accenture,"Chicago, IL","RPA, AI, and Blockchain; Accenture Strategy – Supply Chain & Operations Strategic Cost Reduction Manager...."
18,Error extracting date,/pagead/clk?mo=r&ad=-6NYlbfkN0CV4holdffd831ZKQhR8rczbMi0923Hh_m8CV6wbSqk2AAIzE4yv5ChxOtTyYDRhHEvRroyWjsz05PSUD1OCwmCyq6UAElL-adZbZAJ3dnj4Jmx5zBn6vLWjCoG3M7WlL6dCsVPAnUWNYv-Ai8decgGYp5BituENQDliGFIfN0MMB-mDe-ACDMqvhBC7ejrMK0xW-RDXRX83rsnNI6r_6cLdX0TTyjjiyVaN4h0e23kku38tznj620y9XSJWt8gjD5t4Eywrs6nhSL4nS4pBJsHh3wYW6bi8bXBkAimwKe3UkSd59L9eEQlxSgat4TR6oaMBccefGI4By2pLqnbppliRn7M606lFGh1l5ZS6P-CxAWnsIzYq0lKJmVoA3f1QsAPnZxDEncxwu77Viy_z_6Uvtk88wGKvRvpKHsYZuS_BWc193KpqZ032OkBmKV6Hiw=&vjs=3&p=3&sk=&fvj=0,Chicago,Tech Advisory Senior Manager - Midwest,Accenture,"Chicago, IL","2+ years of experience working with A.I., MS, Blockchain, DevOps, and/or Cloud solutions. Deep understanding in Blockchain, AI, or MS with the ability to..."
19,26 days ago,/rc/clk?jk=95f3f146ec31e5d4&fccid=272c2e9271cd84a3&vjs=3,Chicago,Customer Support Manager,Current Media,"Chicago, IL",We've integrated blockchain technology into our platform to help spread value in the media industry. What is Current?...
20,23 days ago,/rc/clk?jk=acf5acf4c8fa7a6b&fccid=272c2e9271cd84a3&vjs=3,Chicago,Business Strategy,Current Media,"Chicago, IL",We've integrated blockchain technology into our platform to help spread value in the media industry. What is Current?...
21,1 day ago,/rc/clk?jk=2e9e98c50c971c95&fccid=2b6243d317042ea1&vjs=3,Chicago,"Analyst, Disputes and Investigations","DUFF AND PHELPS, LLC","Chicago, IL","You may also be tasked with assisting our professionals with disputes alleging breach of contract, financial fraud, breach of fiduciary duty, patent or..."
22,4 days ago,/company/Jellyfish-Technologies/jobs/Sales-Representative-42696b3c3ac71d43?fccid=124cf1155885622e&vjs=3,Chicago,Sales Representative,Jellyfish Technologies LLC,"Chicago, IL","We serve various domains like Telecom, E-Commerce, Payment Processors, FinTech, IOT (Internet Of Things), BlockChain to name a few. This is a remote position...."
23,2 days ago,/rc/clk?jk=fa332b547e0ff740&fccid=272c2e9271cd84a3&vjs=3,Chicago,General Counsel,Current Media,"Chicago, IL",We've integrated blockchain technology into our platform to help spread value in the media industry. What is Current?...
24,30+ days ago,/rc/clk?jk=c9af344768449bcf&fccid=42ccd87a2c182a30&vjs=3,Chicago,Blockchain Data Analyst,DRW Trading Group,"Chicago, IL","Previous exposure to blockchain analytics platforms such as Chainalysis, Elliptic, or Crystal Blockchain. Interpret and analyze Blockchain data...."
25,30+ days ago,/rc/clk?jk=c1eb5bd9c0138b0c&fccid=d9e7c4d795860e0c&vjs=3,Chicago,Blockchain Data Analyst,DRW,"Chicago, IL","Previous exposure to blockchain analytics platforms such as Chainalysis, Elliptic, or Crystal Blockchain. Interpret and analyze Blockchain data...."
26,23 days ago,/rc/clk?jk=ad871341c5dcf214&fccid=272c2e9271cd84a3&vjs=3,Chicago,Vice President of Product,Current Media,"Chicago, IL",We've integrated blockchain technology into our platform to help spread value in the media industry. What is Current?...
27,11 days ago,/rc/clk?jk=28f884aa7cc3bc20&fccid=a4e4e2eaf26690c9&vjs=3,Chicago,Accenture Analyst - Location Negotiable - Entry Level,Accenture,"Chicago, IL","Helping our clients innovate by leveraging new technologies such as Artificial Intelligence (AI), Predictive Analytics, and Blockchain...."
28,30+ days ago,/rc/clk?jk=b64bcc2744646e38&fccid=2dd390c3a48a7ed0&vjs=3,Chicago,"Senior Associate, Blockchain Solutions",KPMG,"Chicago, IL 60601 (Loop area)","Design and build industry specific solutions using the Blockchain technology and design and build Blockchain framework, accelerators and assets...."
29,Error extracting date,/pagead/clk?mo=r&ad=-6NYlbfkN0CV4holdffd831ZKQhR8rczbMi0923Hh_m8CV6wbSqk2AAIzE4yv5Chp1uxweRnSWiUVTHyx7YSIYIf3LI6joQF3mPWpHKTiAqmBiOrq0tqx4ED982yhuf-K_JP9kZC9cvbYx90wxULaxe4DiequGc-xQWWVhlvF5kvcRxKWejUUA1TCXzgYQm-1IIa8e2KWN5ZV7VPD50Yz7bmfxZgyDWa4_Ror2F2FrVErEEWPlZem-zaxa-XceedZhR03BLvm2dsHmLLBJsJy2PFLfG-UZb1a-BkY3rV8atUw0PiDpcGgTG5NF3fOERqar9EFMNJTWAR0BYp82noT24K5F65dm7zVG6U47xBhY2zsTAMczn3EegQAajftiW9hiV315GtttHnNgbzHnf6wx20QCnHql9UrRpqlnzPz0V4ycC8dtGbU16f8NnJ7bZCyhWOpmeXoCc=&vjs=3&p=4&sk=&fvj=0,Chicago,Accenture Strategy Industry X.0 Strategy Senior Manager,Accenture,"Chicago, IL","Digital Factory Strategy – Industry 4.0, IoT platform, artificial intelligence, machine learning, connected devices, connected workers, and Blockchain to just..."
30,Error extracting date,/pagead/clk?mo=r&ad=-6NYlbfkN0CN0snSec8UE-srZ9g5xsdjqAxVcLTaVhLSvDAEmK-pQQhByqzG2trPLlbydOy3BwHuC9TMd7w2CxySxHTP8kgU5aMuFNlbH1VuJsNz_tRn7qezOFe6AFSincBBbDePpNVUYeonjm4KwCmmjixXZ6l97XKMr9FvLM0aORISvlmoB3GLoNNRILtdsVpGLr7Pi2IFyXP88H_DdOt29NePtmco_98H5kyyNvjahUcthyxB3RJe2w6W_y814VCWc74fDXp_x2uTu32RH5jZGiGb2IOgZZF06lz8CtBdJfqXOzawgqM--cflSgbSQwR8JOVwc3JoA0InONRE5UOfwfj9JGV_xKKyMm5p9Y6UCh5NIeksiYECQpWY_fNpPU4UfWEnr1G1cSYCyxdpo2v-iLImcRhFt8WwX8nv7fqxkicyZ8cur7X998obpYDqhizlm85idP2PsodtWVFHCw==&vjs=3&p=1&sk=&fvj=1,San+Francisco,Research Scientist of Blockchain,SeeleTech,"San Francisco, CA",We are actively working on the next generation of blockchain technology which make large scale transactions and smooth value transfer among different blockchain...
31,Error extracting date,/pagead/clk?mo=r&ad=-6NYlbfkN0A9qMsqH6Ds867-2uMbpcDykHlH4MZPm_lkINg0D0anwTrlY49x0Hi5xnu29RpBimQqconlGtGnsSN6-nMA_Z23t-dbRUDBNKihB20J6yAILssXLfhxcdLt14u5IP8QK4eA5MVQOJbP4CyArUiLatR2kzYiNPQXD3MIBFrXxpV8tC0joDARNRX1XcDeJGLnzMsMtHT3USXjuUjXRVVpm2m9DhSlqWcRK3IyRY2QulHHNJpQP3emK6EyjuUqyFXyoZaPpPYP__JQlLz0z_l9xHfHO2dp7J5Hmr3TF33oIN7orFTGAKjoVksVQU2CgAD6Mizoi5JVQQQIQbNLUHWMwKRQRAdLZf9HMOLa75ZUBmVUenftwjSBpNZy_2Al15lJMHmRgBWY10VsMB75K226dfe92kjRrVBlBdY46Dxun3A3FCbcj-wKb_k94Ji8PqhGqWl5D5LXZk7dcg==&vjs=3&p=2&sk=&fvj=1,San+Francisco,Distributed Systems Engineer,Neutral,"San Francisco, CA","Research, brainstorm and discuss best methodology for blockchain design, implementation, and deployment. Collaborate with a team and open source community to..."
32,Error extracting date,/pagead/clk?mo=r&ad=-6NYlbfkN0A47pmyiFPUp4cBUqYT3Mwu5a0pMrZhglbu9dSscYU_2FPfcgMNvWfbFc6lmYEw24H1ur3wOa_1pf0rvLErZgH1fVxbI0DxmEdw2PdMErd5BAF8pVPZjvHr9XpSfgUS_KxK_6IkVrBYu3Lg7Dctb0jbJsGl06zuvoMATCrowwQfj1nbdki49EXTCzlxnUGzKULJ_MTUL3KFF9M2GzmfgK745_9ozvQcjfD59RurDIrOsdyjPQtKQNNVfM2KnW62HBbJWWI6b_7bM5UbQXpMYDJC4y6lGQzeHn0r3D_f6mduw_VyWO5iuJ1oiMtNjJoKzVs1xpiczlthqGbHVu3vJ6AtNuHMGe56y5KdkgvwirwxCjPoRH2hRimPyLjzbOAnyGhaEHG1BnqrQ7Rkst6-1Ik9xo4Z5L1Uh6mfBHLvDVnBD2OgGO3hvMJJ&vjs=3&p=3&sk=&fvj=1,San+Francisco,Executive Assistant SF Office,Kraken,"San Francisco, CA","By joining Kraken, you’ll work on the bleeding edge of bitcoin and other digital currencies, and play an important role in helping shape the future of how the..."
33,Error extracting date,/pagead/clk?mo=r&ad=-6NYlbfkN0DP5EdMrnof42kMyZFk4b1ms8qCnuraEOdsMR0hUa6SfndxNytuKZiQsL2cZN3-zGibDatXzzkjrPJpxvJFj6vN6IgUfDp71iDv53EdBjOxw77bt56QjNlYE8PQYBHm273tpnNZER9gB5deuWT_IbGdKGaXEGMq9CR3RmLwYLDr2ZJHeWLbhY2wIZLzURSC04oaIC38qsOOuVTF3PvqhDpb5mIhtlxdDiHCYBlsul754QQxe7K7aMUc3RvRHTVqjOLptc-X3lJd14kUnrjjukhAETmMlwdxeFXl1GbrfDP7Wkchid417vIXc3Xoz8JHfdBSDKupm0EBPKp2sI1WRk_MRd-4dsJh6bTeER9uQ3ormoCXatQY71W3eUxgX0ayo3TTrwKC_sBN0zuP771LFaCzQUjKRdMix4brKpaf4DyaStfKuDgms_SakrcLlIt77ck=&vjs=3&p=4&sk=&fvj=1,San+Francisco,Business Development,BUMO Blockchain Technology company,"San Francisco, CA","This is an opportunity to work with the world first tier public blockchain and promote the implementation of blockchain into business, to break the digital..."
34,23 hours ago,/company/Autodidactic-I/jobs/Inventor-Creator-Artist-f4d0d36574fab0d6?fccid=12ccaa5fef8c7e3a&vjs=3,San+Francisco,Inventor + Creator + Artist,Autodidactic I,"San Francisco, CA","Please do not apply if you only have interest and experience in one field.At a minimal, you have a solid foothold in each the financial *(algorithmic trading,..."
35,17 days ago,/rc/clk?jk=041eec4d07f0c1e5&fccid=f76ce2721e6fa057&vjs=3,San+Francisco,Corporate Account Executive,Ambisafe,"San Francisco, CA",A challenging work environment with huge learning potentialFriendly team of co-workers from all around the worldDeep dive into the ICO and Blockchain...
36,30+ days ago,/rc/clk?jk=84cf22d90cf83d8d&fccid=20c14a32fc53d66a&vjs=3,San+Francisco,North America & LATAM Inside Sales Associate,Aquila,"San Francisco, CA 94102 (Downtown area)",Like the blockchain? Prioritize blockchain wallet feature requirements for the engineering team based on measurable partner activities. Who we are?...
37,1 day ago,/company/Blockchains-LLC/jobs/Junior-Ui-Ux-Designer-62a27bd0153cf6b3?fccid=89c5ce6f776bbb71&vjs=3,San+Francisco,Junior UI/UX Designer,"Blockchains, LLC","San Francisco, CA","THIS POSITION IS LOCATED IN SPARKS, NV NO REMOTE WORK AVAILABLE Position Summary A user-experience designer is responsible for conceiving and..."
38,4 days ago,/rc/clk?jk=0b4b2171c4bd30d4&fccid=6e826acc0043d640&vjs=3,San+Francisco,Compliance Analyst,HBUS Holdco Inc,"San Francisco, CA","Strong interest in virtual currency or blockchain (prior experience preferred but not required. Headquartered in San Francisco, CA, HBUS believes that..."
39,10 days ago,/company/Just-Blockchain-Talent/jobs/Blockchain-Engineer-bcbdb956256f9d3d?fccid=40f56907cfd37c99&vjs=3,San+Francisco,Blockchain engineer - amazing opportunity,Just Blockchain Talent,"San Francisco, CA",If you have a passion for blockchain then don't miss this. Exciting blockchain venture with top backing is looking for talented and enthusiastic engineers to...
40,1 day ago,/rc/clk?jk=ff2c3fe7a7f94d35&fccid=bfe246c1b9fb02f3&vjs=3,San+Francisco,Data Analyst,Figure,"San Francisco, CA",We are building a blockchain protocol to fundamentally transform how financial products are originated and transacted....
41,17 days ago,/rc/clk?jk=4de8ac2585960a97&fccid=f76ce2721e6fa057&vjs=3,San+Francisco,Account Executive,Ambisafe,"San Francisco, CA",A challenging work environment with huge learning potentialFriendly team of co-workers from all around the worldDeep dive into the ICO and Blockchain...
42,10 days ago,/company/Almaty-Health/jobs/Blockchain-Engineer-47276b974d6dd929?fccid=25f6c1bde532e91b&vjs=3,San+Francisco,Blockchain Engineer,Almaty Health,"San Francisco, CA",We are working on Blockchain technology and looking to add a highly motivated individual to our blockchain and AI healthcare team....
43,30+ days ago,/company/HBUS/jobs/Customer-Success-f5ffd94b2921fc37?fccid=267b574dccb1107e&vjs=3,San+Francisco,Customer Success (contract to hire),HBUS,"San Francisco, CA","Headquartered in San Francisco, CA, HBUS believes that distributed ledger technology, or blockchain, is about more than virtual currencies and ICO tokens...."
